ts,open,high,low,close,volume
1772236800000,65836.0,67735.0,62979.5,66937.1,257922.786
1772323200000,66937.0,68189.0,65011.0,65750.0,219111.436
1772409600000,65749.9,70100.0,65234.4,68801.8,277378.032
1772496000000,68801.8,69221.6,66080.0,68295.3,257469.9
1772582400000,68295.2,74046.5,67350.0,72641.4,357143.496
1772668800000,72641.4,73539.1,70612.8,70854.8,226168.28
1772755200000,70854.8,71387.5,67712.3,68083.0,213382.703
1772841600000,68083.0,68524.9,66850.1,67232.1,94570.162
1772928000000,67232.1,68171.6,65569.2,65934.3,155747.973
1773014400000,65934.3,69498.0,65770.5,68394.1,237211.547
1773100800000,68394.0,71748.1,68345.0,69901.9,265674.484
1773187200000,69901.8,71286.0,68932.9,70150.0,195627.956
1773273600000,70150.0,70756.5,69150.0,70480.1,186490.593
1773360000000,70480.1,73870.0,70342.7,70895.5,300232.121
1773446400000,70895.5,71272.3,70256.0,71174.4,79283.014
1773532800000,71174.4,73199.9,70815.7,72778.9,126474.242
1773619200000,72778.8,74880.0,72235.6,74846.4,269076.99
1773705600000,74846.4,75998.9,73330.3,73872.4,218278.973
1773792000000,73872.3,74633.0,70456.0,71202.9,226755.469
1773878400000,71202.9,71598.3,68750.0,69887.4,218646.177
1773964800000,69887.4,71342.2,69350.0,70472.7,186241.517
1774051200000,70472.6,71077.7,68511.3,68881.5,74084.886
1774137600000,68881.5,69555.8,67300.0,67830.6,134880.564
1774224000000,67830.7,71789.8,67400.1,70865.9,291099.678
1774310400000,70866.0,71377.5,68884.5,70523.9,196191.95
1774396800000,70524.0,71999.9,70375.0,71297.5,166515.849
1774483200000,71297.5,71408.1,68115.8,68788.0,186473.614
1774569600000,68788.1,69142.7,65501.0,66364.2,212351.048
1774656000000,66364.1,67284.0,65888.0,66334.8,89373.492
1774742400000,66334.8,67100.0,64918.2,65977.9,110278.396
1774828800000,65978.0,68148.4,65754.2,66764.4,187059.065
1774915200000,66764.4,68600.0,65938.0,68241.5,243333.085
1775001600000,68241.4,69288.0,67534.9,68086.5,157276.22
1775088000000,68086.4,68639.1,65676.1,66868.5,188358.921
1775174400000,66868.6,67350.0,66240.0,66930.0,79267.833
1775260800000,66930.0,67554.5,66745.5,67271.0,50770.337
1775347200000,67271.1,69108.0,66575.5,68997.9,104918.169
1775433600000,68997.9,70332.5,68227.5,68817.9,166757.236
1775520000000,68817.9,72743.4,67711.0,71890.2,232828.247
1775606400000,71890.2,72858.5,70671.6,71038.1,183378.492
1775692800000,71038.2,73128.0,70428.0,71750.4,175806.457
1775779200000,71750.4,73450.0,71382.1,72917.4,156569.666
1775865600000,72917.4,73773.4,72451.9,73013.4,80169.67
1775952000000,73013.4,73094.4,70458.2,70711.1,134822.989
1776038400000,70711.2,74870.0,70517.3,74385.0,213029.519
1776124800000,74384.9,76009.0,73766.8,74106.9,183261.49
1776211200000,74106.9,75425.6,73449.0,74776.2,131029.771
1776297600000,74776.3,75500.0,73256.8,75106.8,158397.725
1776384000000,75106.8,78300.0,74480.0,77030.6,239395.915
1776470400000,77030.6,77380.0,75395.9,75653.8,105894.391
1776556800000,75653.8,76200.0,73700.2,73758.4,128978.211
1776643200000,73758.4,76531.0,73669.0,75790.1,166149.667
1776729600000,75790.1,76999.0,74777.9,76288.2,164760.987
1776816000000,76288.3,79444.0,76078.6,78139.8,191087.096
1776902400000,78139.7,78648.0,76504.6,78216.8,172485.012
1776988800000,78217.4,78546.0,77206.8,77395.4,127783.005
1777075200000,77395.3,77847.0,77100.0,77585.0,46592.486
1777161600000,77585.0,78994.8,77280.0,78613.5,79943.305
1777248000000,78614.4,79455.0,76400.0,77331.2,169100.883
1777334400000,77331.2,77450.0,75635.6,76298.1,103918.877
1777420800000,76298.2,77873.2,74868.0,75749.9,186533.503
1777507200000,75749.9,76630.3,75273.5,76305.4,99754.46
1777593600000,76305.4,78879.9,76265.4,78192.0,152998.306
1777680000000,78191.9,79145.0,77979.3,78652.9,51441.108
1777766400000,78652.8,79428.9,78027.0,78529.0,72033.621
1777852800000,78529.0,80771.7,78128.3,79826.1,280916.582
1777939200000,79826.1,81745.4,79761.2,80861.9,170921.528
1778025600000,80861.9,82828.7,80651.2,81390.1,158200.508
1778112000000,81390.0,81680.6,79461.5,79969.4,134727.652
1778198400000,79969.5,80478.0,79137.4,80155.2,106762.913
1778284800000,80155.2,81043.2,80080.0,80634.0,55957.334
1778371200000,80634.0,82460.5,80225.1,82177.7,94950.803
1778457600000,82177.7,82350.0,80394.0,81699.1,121990.421
1778544000000,81699.1,81757.3,79801.0,80461.0,121313.956
1778630400000,80461.0,81270.2,78713.8,79288.3,139700.645
1778716800000,79288.2,81999.0,78869.4,81048.9,175883.625
1778803200000,81048.8,81623.8,78610.0,79074.0,153823.505
1778889600000,79074.0,79199.7,77601.8,78104.2,86150.451
1778976000000,78104.3,78564.3,76666.0,77430.4,86217.669
1779062400000,77430.4,77757.5,76014.2,76963.2,178363.499
1779148800000,76963.2,77384.6,76107.1,76799.9,99046.639
1779235200000,76800.0,77825.8,76485.0,77510.3,107607.406
1779321600000,77510.3,78180.0,76696.7,77586.2,117095.161
1779408000000,77586.3,77862.7,75322.0,75513.1,116206.213
1779494400000,75513.1,77427.0,74203.6,76715.2,153827.753
1779580800000,76715.3,77600.0,76056.0,77030.3,91134.277
1779667200000,77030.3,77887.9,76871.4,77281.5,76708.408
1779753600000,77281.5,78077.1,75641.2,75905.5,164920.082
1779840000000,75905.6,76155.5,74210.0,74418.1,144715.461
1779926400000,74418.0,74565.3,72556.0,73591.4,179445.677
1780012800000,73591.4,74293.1,72436.0,73428.2,146157.182
1780099200000,73428.2,74108.8,73130.1,73856.8,52543.686
1780185600000,73856.9,74250.0,73340.7,73653.2,58241.459
1780272000000,73653.2,74070.5,70650.9,71391.5,213471.128
1780358400000,71391.5,71397.0,66150.7,66730.0,346702.152
1780444800000,66730.1,67493.8,64050.8,64117.7,310901.538
1780531200000,64117.7,64739.8,61344.8,63853.4,431174.611
1780617600000,63853.4,63955.0,59080.0,61022.0,478161.885
1780704000000,61022.0,61500.0,59451.3,60849.7,174760.843
1780790400000,60849.7,64250.0,60708.0,63298.5,217479.033
1780876800000,63299.0,64179.5,62377.0,63057.9,184441.053
1780963200000,63057.9,63499.9,60755.0,61695.0,221399.474
1781049600000,61694.9,62840.2,60691.9,61483.7,193054.264
1781136000000,61483.6,63915.3,61483.6,63597.9,193994.574
1781222400000,63598.0,64362.6,62800.0,63547.0,145723.782
1781308800000,63547.0,64738.0,63360.0,64418.2,76161.387
1781395200000,64418.3,65775.0,63650.0,65702.1,116733.458
1781481600000,65702.1,67255.4,65314.3,66285.9,167952.941
1781568000000,66285.9,66956.7,65328.8,65644.8,129106.426
1781654400000,65644.8,66419.2,63881.2,64472.9,199486.299
1781740800000,64472.9,64780.0,62232.1,62924.1,187698.716
1781827200000,62924.0,63645.0,62237.2,63512.6,112226.881
1781913600000,63512.5,64370.9,63136.2,64270.0,95676.696
1782000000000,64270.1,64568.0,63220.0,63287.1,84982.076
1782086400000,63287.2,65597.2,63286.2,63990.2,161843.008
1782172800000,63990.1,64247.2,61870.0,62696.7,172919.239
1782259200000,62696.7,63209.6,59060.0,61051.2,278097.304
1782345600000,61051.2,61931.1,58030.0,59771.9,301830.174
1782432000000,59772.0,60734.0,58288.0,60072.0,282095.151
1782518400000,60071.9,60924.7,59819.8,60000.3,81302.593
1782604800000,60000.4,60543.3,58888.0,59550.2,103598.697
1782691200000,59550.2,60758.3,58850.0,60224.7,227776.275
1782777600000,60224.7,60250.0,58160.0,58605.4,191646.301
1782864000000,58605.4,61322.0,57758.6,59999.6,263938.481
1782950400000,59999.6,62180.0,59555.0,61540.6,235950.072
1783036800000,61540.5,62957.2,61229.0,62565.5,132498.494
1783123200000,62565.5,63450.0,62302.6,63114.8,79649.524
1783209600000,63114.9,63114.9,62410.1,62748.0,41845.265
